Index,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
883,Cambodia Wildlife Sanctuary and Countryside Tour,Full-day Tours,2,5,7,149,"Lunch, All Fees and Taxes, Ticket, Transportation, English tour guide, Entry/Admission - Phnom Penh","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
884,Half-Day Siem Reap City Hidden Gems Private Guided Tour,Bus Tours,2,5,4,60,"Passionate english speaking local guide, All Fees and Taxes, Snacks, Private transportation, All entrances to local monastery","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
885, Angkor Highlights and Sunset Small Group,Full-day Tours,1,5,11,24,"Bottled water, Free pickup and drop-off at city hotels, Professional English-speaking tour guide, Sightseeing as specified in the description, Transportation by air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
886,Koulen Waterfall & Ancient Capital 802AD Full-Day private Tour,Bus Tours,1,5,7,78,"English Speaking Tour Guide, Private air conditioned vehicle, Hotel pick up and drop off, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
887,Angkor Wat Sunrise Odyssey Breakfast by the Royal Bath,Full-day Tours,1,5,8,43,"Experienced English Speaking Tour Guide, Angkor Admission Fee, Breakfast, Lunch, Bottled water, Local Tax","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
888,"Siem Reap Airport or Hotel Transfer (VIP:Starex, H1)",Bus Tours,1,5,1,25,"One way: 4-seat airconditioned vehicle transfer for 1-3pax, Travel insurance during transfer, Service of driver from airport to hotel or hotel to airport, Unlimited water bottle and cold towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
889," Angkor Guide To Sunrise Angkor Wat, Bayon, TaProhm, Bantey Srei",Adventure Tours,1,5,8,35,"Bottled water, Cold Waters & Wipes, English Speaking Tour Guide, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
890,Kulen Mountain Waterfall and Local Culture Private-Tour,Full-day Tours,1,5,9,65,"Bottled water and towel, Free pickup and drop-off at city hotels, Professional English-speaking tour guide, Sightseeing as specified in the description, Transportation by air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
891," 3-Days Private Tour Discover Angkor Wat ,1000 Linga Carving & Floating Village",Bus Tours,,,72,359.38,"Air-conditioned vehicle, English tour guide, Cold water & cold towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
892,Private Full-Day Preah Vihear Koh Ker With Small Group Tour,Bus Tours,1,5,8,140,"Air-Con Vehicle, Senior English-Speaking Guide, Cool Water & Towels, Local Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
893,1Day Angkor Wat With Sunrise And Banteay Srei ( by join-in Luxury MiniBus),Full-day Tours,1,5,7,25,"All local taxes, Cold Water during touring, Air-conditioned vehicle, Reliable and safe English speaking tour guide with license","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
894,Bike the Countryside and Vegetable Villages Half Day private Tour,Bike Tours,1,5,4,37,"English Speaking Tour Guide, Bike (Giant or Trekking), Hotel pick up and drop off, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
895,Decide Your Own Full-Day Tour from Siem Reap (DELUXE),Bus Tours,1,5,9,800,"English Speaking Tour guide, All entrance fees, Transportations & services as above mentioned, Breakfast, Lunch and Dinner, Hotel pick up and drop off, Entry/Admission - Angkor Wat, Entry/Admission - Koulen National Park, Entry/Admission - Kampong Phluk Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
896,Angkor Wat-Sunrise by Cycling (25-30 km),Full-day Tours,1,5,8,76,"Hotel pickup at 4:50 AM Bicycle with the helmet. English Speaking Tour Guide with the license. Lunch at Sra Srang enjoy the traditional Khmer Cuisine Snack, and refreshments. Drop off. at the hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
897,1Day Private Tour: Kampong Kleng floating village and Beng Mealea temple.,Bus Tours,1,5,8,169.24,"Tour guide to all the main temples, transportation (A/C car), cold water and cold towels.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
898, Private day tours in Kampot-Kep with local tuktuk,Full-day Tours,1,5,8,45,"Private tuktuk, Driver as English tour guide, Entrance fees, Lunch for a solo traveller, Coffee/drinks for couple travellers, Extra charge for outside-town picking up, Entry/Admission - Salt Fields","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
899,Full Day Private Tour To Preah Vihear Temple( 220 KM )+ Koh Kher,Full-day Tours,1,5,9,271.8,"Cold towel and battled water, Private English speaking license Tour guide, Private Transportation service","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
900,Half Day Trip to Killing Field and Genocidal Museum,Bus Tours,1,5,4,120,"Private English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water, Hotel pick-up & drop-off","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
901,Half day discover Kompong Pluk floating village on Tonle Sap lake,Bus Tours,1,5,5,78,"English speaking license tour guide,, Air-conditioning car or minivan, Cold towel and battle of drinking water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
902,Private Angkor Wat Sunrise Tour and Tonle Sap Boat Cruise,Bus Tours,1,5,9,62,"Vaccinated English speaking tour guide with license, Vaccinated experienced driver with license, Free cool water and cool towel during the tour, 100% Private vehicle with A/C ( Car or Minivan)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
903,Khmer Cuisine Cooking Class In Siem Reap,Cooking Classes,1,5,4,38,"Private transportation, All Fees and Taxes, We provide the food that you cook and prepare the lunch table on spot, Coffee and/or Tea, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
904,3 days VIP Trip at Angkor Wat With Sunrise Plus,Bus Tours,1,5,72,381.54,"A/C Car, Fuel, All Entrance Fees to places mentioned in the itinerary, English Speaking Tour Guide, Cold Mineral Water, Cold Face Towels, Airport Pick Up, Airport Transfer Out, Entry/Admission - Siem Reap, Entry/Admission - Bayon Temple, Entry/Admission - Siem Reap, Entry/Admission - Phimeanakas, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Prasat Suor Prat, Entry/Admission - Ta Prohm Temple, Entry/Admission - Preah Khan, Entry/Admission - Neak Pean, Entry/Admission - Eastern Mebon, Entry/Admission - Banteay Samre, Entry/Admission - Banteay Srei, Entry/Admission - Beng Mealea, Entry/Admission - Kompong Phluk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
905,"Private Banteay Chhmar, Banteay Toap & Ang Trapaeng Thma Guided Tour",Full-day Tours,1,5,7,150.77,"12 hour tour of Banteay Chhmar, Banteay Toap & Ang Trapaeng Thma, Hotel pickup and drop-off, Cold towels, Private transport by air-conditioned vehicle, Professional English-speaking guide, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
906,Angkor Wat plus Helicopter ride with Khmer Lunch,Bus Tours,1,5,7,585.66,"20-minute helicopter ride, air conditioned (share or private), Bottled water on tour, Hotel pickup and drop-off, Khmer Lunch during the tours, Transportation by air-conditioned vehicle, Angkor Wat 1 Day Entrance Ticket, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom, Entry/Admission - Ta Prohm Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
907,Small Phnom Penh City Tour,Luxury Car Tours,1,5,6,128.21,"All entrance fee are mentioned on attracting points, Private Licensing Tour Guide, Hotel Pickup and Drop-off, Hand Cold Tower, Cold Battle of waters, Private Conformable Transportation, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Russian Market","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
908,Guided Private Tuk Tuk Tour Angkor Wat and Small Circle and Five Extras,Full-day Tours,1,5,13,59,"English-speaking driver, Private transportation, Licenced English-speaking Angkor guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
909,Beng Mealea - Koh Ker & Preah Vihear Private Tour,Bus Tours,1,5,7,167.95,"Private transportation, 4-wheel drive pick up to the hill of Preah Vihear, Experienced English speaking guide, Picnic Lunch on spot as motioned in itinerary, Mineral water and cold tissues on tours, Fuel surcharge, Landing and facility fees, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
910,Private Angkor Wat sunrise sunset 2 days tour,Adventure Tours,1,5,48,225.65,"Professional English speaking guide, Gratuity is recommended, Fruit Snacks, AC Lexus/mini van/mini bus with licensed driver, Standard mountain bike, Cold water and Cold towels, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Wat","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
911,Beng Mealea & Hidden Temples 1 day,Full-day Tours,1,5,7,90.26,"All land transportation by US Army Jeep, ENGLISH speaking guide, Mineral water and cold tissues on tour, Entry/Admission - Chrey Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
912,Private Day Tour of Preah Vihear Off the Beaten track,Bus Tours,1,5,7,200,"Hotel pickup and Hotel or chaom border drop-off, O'Smach Border dropoff(tour option), Bottled water, Driver Guide, Private tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
913,Jump to Angkor,Bus Tours,1,5,9,92.31,"English Speaking Guide, Transportation, Cold water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
914,Jet Leg Release Massage,Health Tour,1,5,2,46.16,"90 hour massage treatment, include Welcome drink, foot washing and snack","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
915,Phnom Penh 2-Day Tour,Bus Tours,,,48,144,"English Speaking Tour Guide, Transportation: Car, Van with A/C., Cold pure drinking water and cold towel during temple trip., Free pick up in the Phnom Penh area.","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
916,Siem Reap Angkor Wat Sunrise Small Tour By Join In,Bus Tours,1,5,5,26.9,"Professional English Speaking guide, Transported by air conditioner mini bus, Cold bottle of Water and cold towels, hotel pick up( 4:15-4:55 am), hotel drop off, Note: we use 1 pax by motor bike, 3 pax by tuk tuk and 4 by mini van per day booking, helmet for motor by sitting behind driver","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
917,Classic Angkor Wat sunset Private Tour,Full-day Tours,1,5,11,119,"Round trip hotel transfers, Professional guide driver, Water & Towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
918,Best Sihanoukville Day Tours From Cruise Port or Hotel,Bus Tours,1,5,5,170,"Pickup-drop off from GATE 1 of the port if you arrive by cruise or Hotel pickup and drop-off, Pick up welcome sign 'Green Era Travel' (please follow the guide who has Green Era Travel sign only), Shared air conditioned car, minivan or bus (depends on group size), Local English Speaking Guide, Cold Bottled waters, Small Group Tour","Asia, Cambodia, Sihanoukville Province, Sihanoukville, Things to Do in Sihanoukville, Sihanoukville Tours, Tours and Tickets"
919, Private Kulen Waterfall & 1000 Lingas Tour,Full-day Tours,1,5,7,69.75,"Hotel pick-up and drop off (if requested), Transport by your chosen vehicle, Bottled water & Cold towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
920,Private Kbal Spean & Banteay Srei Tour,Full-day Tours,1,5,7,115.39,"Hotel pick-up and drop off, Professional English-speaking guide (limited options only), Transport by your chosen vehicle, Bottled water & Cold towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
921,"Private 3 Day Tour Culture, Heritage and Ancient Capital Discovery Tour",Bus Tours,1,5,72,307.7,"Bottled water, Professional guide, Hotel pickup and drop-off, Private Transportation, Entry/Admission - Artisans Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
922,Full Day Angkor Discovery & Sunrise,Full-day Tours,1,5,8,55.39,"1 drink (shake or soft drink or fresh coconut juice or a can of Angkor beer)., 2 bottled water + 2 wet tissue/pax., All sightseeing & tour activities as programmed., Experienced local English speaking tour guide., Khmer set lunch., Transportation for the whole trip.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
923,Phnom Bok Mountain Temple Tour from Siem Reap,Adventure Tours,,,6,48,"Hotel pickup and drop-off, Lunch, Local guide, Transport by air-conditioned minivan/tuk tuk, Bottled water, Entry/Admission - Banteay Samre, Entry/Admission - Khmer Detours Day Tours","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
924,Half-Day Preah Khan and Neak Pean Temples from Siem Reap,Bus Tours,,,4,40,"Hotel pickup and drop-off, Professional guide and driver, Bottled water, Transport by Tuk Tuk or air-conditioned minivan depending on the number of travelers, Fuel surcharge, Landing and facility fees, Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
925,Private 04 Day Tour in Siem Reap Region,Bus Tours,1,5,72,267.44,"Private English Speaking Tour Guide, Private Transportation with A/C, Cold Drinking Water, hotel pick up & drop off, Parking Fees, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Terrace of the Elephants, Entry/Admission - Ta Prohm Temple, Entry/Admission - Pre Rup, Entry/Admission - Kbal Spean, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Koh Ker Temple, Entry/Admission - Beng Mealea, Entry/Admission - Angkor Silk Farm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
926,Private Angkor Wat unique 5 main temples unique Tour,Full-day Tours,1,5,7,85,"Professional English speaking guide, Motor bike driver and helmet, Cold bottle of water, Gratuity is recommended, pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
927,Angkor Explorer Inclusive lunch at the local house,Multi-day Tours,1,5,7,49,"Hotel pickup and drop-off, English Speaking Tour guide, Bottled water, Local snacks and fruits, An air-conditioned vehicle, Lunch at local house","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
928,Angkor Wat & Bayon: the Smiling Temple Bike Tour,Bike Tours,1,5,5,35,"English speaking tour guide, Fresh coconut juice, Lunch, Helmet, Quality mountain bike (Giant/Trek), Pure drinking water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
929,Angkor Wat Sunrise Private Tours by Tuk Tuk from Siem Reap,Full-day Tours,1,5,7,48.72,"Hotel pickup and drop-off by tuk tuk, Local Live English Speaking guide, Chilled Bottled water during tour, Transport by tuk tuk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
930,"Top three temple sites of Angkor Wat, Bayon, and Ta Prohm",Adventure Tours,1,5,7,44,"English Speaking Tour Guide, Private vehicle by air-conditioned vehicle, Free cool & cool towels during touring, All local applicable taxes, Return to hotel around 1.00 pm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
931,To explore Angkor Wat for 3 days,Bus Tours,1,5,72,266.67,"Cold Face Towels, Cold Mineral Water, English Speaking Tour Guide, A/C Car, Fuel, Entry/Admission - Kompong Phluk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
932,3-Day Private Tour to Angkor Wat and All Magical temple in Siem Reap,Bus Tours,1,5,72,169,"- Cold mineral water and towel, - English Speaking Driver, - Parking Fee, - Tour Information, - Pick up and Drop off to Hotel, - Private vehicle, - Sunset, Entry/Admission - Banteay Srei","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
933,Private Sunrise Angkor Small Tour,Full-day Tours,1,5,8,70,"English speaking tourist guide, Hotel pick up and drop off, Private transportation, Cool hand towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
934,Private 3 Day Adventure To Ancient Temples,Bus Tours,1,5,72,487.18,"Hotel pickup and drop-off, Professional guide, Transport by air-conditioned minivan, Bottled water, Entry/Admission - Preah Ko, Entry/Admission - Lolei, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Baphuon Temple, Entry/Admission - Phimeanakas, Entry/Admission - Ta Prohm Temple, Entry/Admission - Angkor Wat, Entry/Admission - Beng Mealea, Entry/Admission - Koh Ker Temple, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
935,Full-Day Tour of Preah Ang Thom and Phnom Kulen Waterfall,Full-day Tours,1,5,7,45,"Pick up at around 8am and drop off around 5pm, Phnom Kulen Pass, English Speaking Guide, Cold Waters and Cold Towels, Entry/Admission - Phnom Kulen Waterfall","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
936,"Tour, Tour guide and transportation",Bus Tours,1,5,2,50,"Coffee and/or Tea, Air-conditioned vehicle, Use of bicycle, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
937,Private Koh Ker & Beng Mealea Tour,Full-day Tours,1,5,8,100,"English speaking tourist guide, Private transportation, Cool hand towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
938,2-Day Private tour: Discover Angkor temples with sunrise,Adventure Tours,1,5,48,105,"Fully vaccinated English speaking tour guide, Vaccinated & Experienced Driver, Private vehicle by air-conditioned, Free cool water & towels during this trip","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
939,Countryside and sunset with Military Jeep,Adventure Tours,,,3,48,"Soft drinks and beers, Local adventure guide, Military Jeep, Entry/Admission - Wat Preah Prom Rath, Entry/Admission - Prasat Phnom Krom","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
940,Angkor Wat and Small Circuit Temples by Private Transport,Full-day Tours,1,5,7,37,"Hotel pick-up and drop-off, English-speaking driver, Transport by air-conditioned minivan, Bottled water and cool towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
941,Cycle the Angkor Ruins,Walking Tours,1,5,24,59,"Understand local villagers' daily life & taste local fresh coconut juice., Visit local market & taste local pastry and cookies.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
942,Signature Khmer Menu Cooking Class at Chreav Village Local Farm,Cooking Classes,1,5,4,40,"All Fees and Taxes, Bottled water, Coffee and/or Tea, We provide the food that you cook and prepare the lunch table on spot, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
943,Explore Sihanoukville's Nearby Islands,Full-day Tours,1,5,7,148.2,"Pick up & Drop off at hotel, English speaking guide, Seafood lunch as indicated, Fruit and Soft drinks, Snorkeling gear, Lunch, Snacks, Bottled water","Asia, Cambodia, Sihanoukville Province, Sihanoukville, Things to Do in Sihanoukville, Sihanoukville Tours, Tours and Tickets"
944,Sunset Drinks in the Countryside by Jeep,Full-day Tours,,,4,56.42,"Jeep, Drinking Water, hotel pick up & drop off, Private Tour Guide, Entry/Admission - Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
945,Private Angkor Wat sunrise Bayon Ta Prohm private from Siem Reap,Full-day Tours,1,5,7,87.18,"Professional English speaking guide, Motor bike driver and helmet, Cold bottle of water, Gratuity is recommended, pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
946,City tour Kompong Pluk Sunset Floating Village From Siem Reap,Full-day Tours,1,5,7,51.29,"English speaking tour guide, Car with air conditioner, Cold water and Cold towels, Cold Beers and fried peanuts, Bottled water, Alcoholic Beverages","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
947,Siem Reap to Banteay Meanchey (Banteay Chhmar Group),Bus Tours,1,5,24,199,"A/C Transportation, Cold Drinking Water, English Speaking Tour Guide, Cold Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
948,Siem Reap Angkor International Airport Taxis,Bus Tours,1,5,1,55,"Pickup from Siem Reap Angkor International Airport GATE1, Drop off at your hotel/residence in Siem Reap City, Private Air-conditioned vehicle with a professional driver, Toll fees","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
949,Private 2 Days Angkor Temples with Sunrise and Sunset,Bus Tours,1,5,48,134,"Professional English-speaking tour guide, Transportation by air-conditioned vehicle, Sightseeing as specified in the description, Free pickup and drop-off at city hotels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
950,3-Days Angkor Wat Temple And Tonle Sap lake,Luxury Car Tours,1,5,72,188,"Private luxury car, English speaking guide, Cool drinking water, Boat ticket included, Kulen waterpark ticket pass","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
951,Lara Croft Tomb Raider temple and Angkor Temples Tour,Full-day Tours,1,5,9,48,"English Speaking tour guide, Transportation ( AC car or minivan or minibus ), Bottles of cold drinking Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
952,Full-Day Private Tour Phnom Kulen and Waterfalls,Full-day Tours,1,5,7,120,"Pick up time at 8:30am and Drop off around 5pm, English Speaking tour Guide, Cold Waters and Cold Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
953,Oudong Temples Private Tour from Phnom Penh,Adventure Tours,1,5,6,129,"Hotel pickup and drop-off, Good car/minivan with good air conditioned, Private tour guide, Coffee and/or Tea, Bottled water during tours, Tickets, Entry/Admission - Udong Mountain","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
954,Angkor Wat Tuk Tuk with Tour Guide,Full-day Tours,1,5,8,15,"Enjoy experience with Tuk Tuk ( Remork), Bottled water, All local applicable taxes, Professional English Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
955,Cambodia Tour Package,Full-day Tours,1,5,7,109.75,"Private English Speaking Guide, Entrance fees to Angkor complex USD$37 for one day pass, Private car and driver, Air-conditioned vehicle, Drinking Bottled Water, Entry/Admission - Angkor Archaeological Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
956,Private Angkor Four Best Temples Tour,Full-day Tours,1,5,8,60,"English speaking tourist guide, Hotel pick up and drop off, Private transportation, Cool hand towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
957,Private Siem Reap City Tour,Bus Tours,1,5,4,102.57,"Tour Guide, Private Transportation, Drinking Water, hotel pick up & drop off, Entry/Admission - Artisans Angkor, Entry/Admission - Psar Chaa - Old Market","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
958,Handmade Soaps and wellbeing products,Adventure Tours,1,5,2,25.65,"Tour Guide, Private Transportation, Drinking Water, hotel pick up & drop off, Entry/Admission - Artisans Angkor, Entry/Admission - Psar Chaa - Old Market",
959,Sunrise over Angkor Wat Temple in Siem Reap,Full-day Tours,,,8,79,"Tour Guide, Private Transportation, Drinking Water, hotel pick up & drop off, Entry/Admission - Artisans Angkor, Entry/Admission - Psar Chaa - Old Market",
960, Snap! Sensational & Unique Show ! Back To Cambodian Archives,Theater Shows,1,5,1,19,"Tour Guide, Private Transportation, Drinking Water, hotel pick up & drop off, Entry/Admission - Artisans Angkor, Entry/Admission - Psar Chaa - Old Market",
961,Our great empires architecture for 5 Days - 4 Nights Tour,Bus Tours,1,5,72,319.24,"English Local Tour Guide (Licensed Tour Guide), Private tour guide escort for the whole trip, High quality cool water, fresh towel and soft drinks, VIP transportation of Lexes RX 300 (Petrol using), Hotel pick up and drop off, Private Tour, Mountain Trekking Tour, Tour escort/host, 5 Days Tour activities as mention in the programs, Private local boat tour in the Great Lake, Koh Ker Temple and Beng Mealea Temple visit","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
962,Highlight of Angkor Temples Share Group Tour with Sunset Watching,Full-day Tours,1,5,10,25,"Hotel Pick Up & Drop Off ( please provide us your hotel name and address ), Profesional English speaking license tour guide, Transport by luxury air-conditioned vehicle, Offer 2 cold drinks water during tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
963,Traditional Khmer Menu Cooking Class Plus Market Tour ( Group Class ),Cooking Classes,1,5,4,32,"Bottled water, Private transportation, Cool Towel, Cooking Hat and Apron, Cook Certificate, Recipe","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
